										
										
		SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE	SAM ALLEN WHOLESALE
		STOCKIST PRICE LIST	STOCKIST PRICE LIST	STOCKIST PRICE LIST	STOCKIST PRICE LIST	STOCKIST PRICE LIST	STOCKIST PRICE LIST	STOCKIST PRICE LIST	STOCKIST PRICE LIST	STOCKIST PRICE LIST
		To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au	To Order  -  Phone: (07) 3902 7222     Free Fax: 1800 811 079     E-mail: sales@samallen.com.au
				DATE:	21.02.25					
				Please note: Prices are subject to change without notice.						
		SAW #	DESCRIPTION	STOCKIST PRICE EX GST	MU	GP	RRP INC GST	BARCODE	2020 CATALOGUE PAGE NO.	NOTES
		10400N	Rope polyester double braid natural 6mm x 200m	139.4	0.45004565018912474	62.73636363636399	222.35000000000042	9330420005110	754	
		10400R	Rope polyester double braid red fleck 6mm x 200m	139.4	0.45004565018912474	62.73636363636399	222.35000000000042	9330420005127	754	
		10400Y	Rope polyester double braid yellow fleck 6mm x 200m	139.4	0.45004565018912474	62.73636363636399	222.35000000000042	9330420005134	754	
		10401	Rope polyester plaited 8 strand white 4mm x 400m	113.781818181818	0.45014381591563035	51.218181818182	181.50000000000003	9330420005769	751	
		10401A	Rope polyester plaited 8 strand white 4mm x 100m	31.6818181818182	0.4992826398852215	15.818181818181799	52.25000000000001	9330420016505	751	
		10401B	Rope polyester plaited 8 strand black 4mm x 400m	145.8	0.44999376480858005	65.60909090909098	232.5500000000001	9330420016512	751	
		10401C	Rope polyester plaited 8 strand black 4mm x 100m	40.5	0.5005611672278346	20.272727272727302	66.85000000000004	9330420085402	751	
		10402	Rope polyester plaited 8 strand white 5mm x 400m	151.109090909091	0.44988569365900466	67.981818181818	240.99999999999991	9330420016529	751	
		10402A	Rope polyester plaited 8 strand white 5mm x 250m	99.693	0.5000597288220335	49.85245454545499	164.5000000000005	9330420082784	751	
		10403B	Rope polyester plaited 8 strand black 5mm x 250m	116.318	0.49980695554037224	58.136545454545015	191.89999999999952	9330420016536	751	
		10404A	Rope polyester plaited 8 strand white 6mm x 250m	166.155	0.49996853978076494	83.072272727273	274.1500000000003	9330420082791	751	
		10404B	Rope polyester plaited 8 strand black 6mm x 250m	211.622	0.5001018110335644	105.83254545454497	349.19999999999953	9330420014297	751	
		10404C	Rope polyester plaited 8 strand white 8mm x 250m	256.5	0.449937976253766	115.40909090909099	409.10000000000014	9330420190342	751	
		10405B	Rope polyester double braid blue fleck 8mm x 200m	201.6	0.39993686868686995	80.62727272727298	310.4500000000003	9330420005141	754	
		10405BLK	Rope polyester double braid black fleck 8mm x 200m	201.6	0.39993686868686995	80.62727272727298	310.4500000000003	9330420153903	754	
		10405G	Rope polyester double braid green fleck 8mm x 200m	201.6	0.39993686868686995	80.62727272727298	310.4500000000003	9330420016550	754	
		10405N	Rope polyester double braid natural 8mm x 200m	201.6	0.39993686868686995	80.62727272727298	310.4500000000003	9330420005158	754	
		10405R	Rope polyester double braid red fleck 8mm x 200m	201.6	0.39993686868686995	80.62727272727298	310.4500000000003	9330420005165	754	
		10405Y	Rope polyester double braid yellow fleck 8mm x 200m	201.6	0.39993686868686995	80.62727272727298	310.4500000000003	9330420005172	754	
		10406B	Rope polyester double braid blue fleck 8mm x 100m	107.1	0.44979203802732964	48.172727272727	170.7999999999997	9330420005189	754	
		10406BLK	Rope polyester double braid black fleck 8mm x 100m	107.1	0.44979203802732964	48.172727272727	170.7999999999997	9330420234473		
		10406G	Rope polyester double braid green fleck 8mm x 100m	107.1	0.44979203802732964	48.172727272727	170.7999999999997	9330420005196	754	
		10406N	Rope polyester double braid natural 8mm x 100m	107.1	0.44979203802732964	48.172727272727	170.7999999999997	9330420005202	754	
		10406R	Rope polyester double braid red fleck 8mm x 100m	107.1	0.44979203802732964	48.172727272727	170.7999999999997	9330420005219	754	
		10406Y	Rope polyester double braid yellow fleck 8mm x 100m	107.1	0.44979203802732964	48.172727272727	170.7999999999997	9330420005226	754	
		10410B	Rope polyester double braid blue fleck 10mm x 200m	294.4	0.4000741106719363	117.78181818181804	453.39999999999986	9330420005233	754	
		10410BLK	Rope polyester double braid black fleck 10mm x 200m	294.4	0.4000741106719363	117.78181818181804	453.39999999999986	9330420121070	754	
		10410G	Rope polyester double braid green fleck 10mm x 200m	294.4	0.4000741106719363	117.78181818181804	453.39999999999986	9330420005240	754	
		10410N	Rope polyester double braid natural 10mm x 200m	294.4	0.4000741106719363	117.78181818181804	453.39999999999986	9330420005257	754	
		10410R	Rope polyester double braid red fleck 10mm x 200m	294.4	0.4000741106719363	117.78181818181804	453.39999999999986	9330420005264	754	
		10410Y	Rope polyester double braid yellow fleck 10mm x 200m	294.4	0.4000741106719363	117.78181818181804	453.39999999999986	9330420005271	754	
		10411B	Rope polyester double braid blue fleck 10mm x 100m	156.4	0.44995349918623395	70.37272727272699	249.4499999999997	9330420005288	754	
		10411BLK	Rope polyester double braid black fleck 10mm x 100m	156.4	0.44995349918623395	70.37272727272699	249.4499999999997	9330420100884		
		10411G	Rope polyester double braid green fleck 10mm x 100m	156.4	0.44995349918623395	70.37272727272699	249.4499999999997	9330420005295	754	
		10411N	Rope polyester double braid natural 10mm x 100m	156.4	0.44995349918623395	70.37272727272699	249.4499999999997	9330420005301	754	
		10411R	Rope polyester double braid red fleck 10mm x 100m	156.4	0.44995349918623395	70.37272727272699	249.4499999999997	9330420005318	754	
		10411Y	Rope polyester double braid yellow fleck 10mm x 100m	156.4	0.44995349918623395	70.37272727272699	249.4499999999997	9330420005325	754	
		10412B	Rope polyester double braid blue fleck 12mm x 100m	202.3	0.44991686514177937	91.01818181818197	322.6500000000002	9330420167344	754	
		10412BLK	Rope polyester double braid black fleck 12mm x 100m	202.3	0.44991686514177937	91.01818181818197	322.6500000000002	9330420153910		
		10412G	Rope polyester double braid green fleck 12mm x 100m	202.3	0.44991686514177937	91.01818181818197	322.6500000000002	9330420168495	754	
		10412N	Rope polyester double braid natural 12mm x 100m	202.3	0.44991686514177937	91.01818181818197	322.6500000000002	9330420168518	754	
		10412R	Rope polyester double braid red fleck 12mm x 100m	202.3	0.44991686514177937	91.01818181818197	322.6500000000002	9330420163490	754	
		10412Y	Rope polyester double braid yellow fleck 12mm x 100m	202.3	0.44991686514177937	91.01818181818197	322.6500000000002	9330420168525	754	
		10420B	Rope polyester double braid blue fleck 14mm x 100m	261.8	0.4499270782693239	117.790909090909	417.54999999999995	9330420005387	754	
		10420BLK	Rope polyester double braid black fleck 14mm x 100m	261.8	0.4499270782693239	117.790909090909	417.54999999999995	9330420100891		
		10420G	Rope polyester double braid green fleck 14mm x 100m	261.8	0.4499270782693239	117.790909090909	417.54999999999995	9330420005394	754	
		10420N	Rope polyester double braid natural 14mm x 100m	261.8	0.4499270782693239	117.790909090909	417.54999999999995	9330420005400	754	
		10420R	Rope polyester double braid red fleck 14mm x 100m	261.8	0.4499270782693239	117.790909090909	417.54999999999995	9330420005417	754	
		10420Y	Rope polyester double braid yellow fleck 14mm x 100m	261.8	0.4499270782693239	117.790909090909	417.54999999999995	9330420005424	754	
		10425B	Rope polyester double braid blue fleck 16mm x 100m	336.6	0.45006211851131606	151.49090909090899	536.9	9330420005431	754	
		10425BLK	Rope polyester double braid black fleck 16mm x 100m	336.6	0.45006211851131606	151.49090909090899	536.9	9330420100907		
		10425G	Rope polyester double braid green fleck 16mm x 100m	336.6	0.45006211851131606	151.49090909090899	536.9	9330420005448	754	
		10425N	Rope polyester double braid natural 16mm x 100m	336.6	0.45006211851131606	151.49090909090899	536.9	9330420005455	754	
		10425R	Rope polyester double braid red fleck 16mm x 100m	336.6	0.45006211851131606	151.49090909090899	536.9	9330420005462	754	
		10425Y	Rope polyester double braid yellow fleck 16mm x 100m	336.6	0.45006211851131606	151.49090909090899	536.9	9330420005479	754	
		10428B	Rope polyester double braid blue fleck 18mm x 100m	428.8	0.3999957598371781	171.51818181818197	660.3500000000003	9330420100921		
		10428BLK	Rope polyester double braid black fleck 18mm x 100m	428.8	0.3999957598371781	171.51818181818197	660.3500000000003	9330420100914		
		10428G	Rope polyester double braid green fleck 18mm x 100m	428.8	0.3999957598371781	171.51818181818197	660.3500000000003	9330420100938		
		10428N	Rope polyester double braid natural 18mm x 100m	428.8	0.3999957598371781	171.51818181818197	660.3500000000003	9330420100945		
		10428R	Rope polyester double braid red fleck 18mm x 100m	428.8	0.3999957598371781	171.51818181818197	660.3500000000003	9330420100952		
		10428Y	Rope polyester double braid yellow fleck 18mm x 100m	428.8	0.3999957598371781	171.51818181818197	660.3500000000003	9330420100969		
		10430B	Rope polyester double braid blue fleck 20mm x 100m	572.8	0.39998095479939083	229.10909090909104	882.1000000000001	9330420100983	754	
		10430BLK	Rope polyester double braid black fleck 20mm x 100m	572.8	0.39998095479939083	229.10909090909104	882.1000000000001	9330420100976		
		10430G	Rope polyester double braid green fleck 20mm x 100m	572.8	0.39998095479939083	229.10909090909104	882.1000000000001	9330420100990		
		10430N	Rope polyester double braid natural 20mm x 100m	552	0.40003293807641666	220.81818181818198	850.1000000000003	9330420101003		
		10430R	Rope polyester double braid red fleck 20mm x 100m	572.8	0.39998095479939083	229.10909090909104	882.1000000000001	9330420101010		
		10430Y	Rope polyester double braid yellow fleck 20mm x 100m	572.8	0.39998095479939083	229.10909090909104	882.1000000000001	9330420101027		
		10451	Rope polyester double braid natural 8mm x 250m	252	0.40007215007215075	100.81818181818198	388.1000000000002	9330420133790		
		10451A	Rope polyester double braid natural 8mm x 160m	171.36	0.4498981410746091	77.09454545454503	273.29999999999956	9330420157345		
		10453N	Rope polyester double braid natural 4mm x 250m	81	0.45005611672277773	36.454545454545	129.1999999999995	9330420136463		
		10453BLK	Rope polyester double braid solid black 4mm x 250m	99	0.44995408631772715	44.54545454545499	157.9000000000005	9330420141924		
		10454BLK	Rope polyester double braid solid black 5mm x 200m	129.6	0.4499158249158256	58.309090909091	206.7000000000001	9330420147322		
		10455	Rope polyester double braid solid black 6mm x 200m	176.8	0.4500205676676242	79.56363636363596	281.9999999999996	9330420016581	753	
		10456	Rope polyester double braid solid red 6mm x 200m	176.8	0.4500205676676242	79.56363636363596	281.9999999999996	9330420016598	753	
		10457	Rope polyester double braid solid blue 6mm x 200m	176.8	0.4500205676676242	79.56363636363596	281.9999999999996	9330420016604	753	
		10458	Rope polyester double braid solid green 6mm x 200m	176.8	0.4500205676676242	79.56363636363596	281.9999999999996	9330420016611	753	
		10459	Rope polyester double braid solid yellow 6mm x 200m	176.8	0.4500205676676242	79.56363636363596	281.9999999999996	9330420016628	753	
		10460	Rope polyester double braid solid black 8mm x 200m	265.6	0.39991785323110673	106.21818181818196	409.0000000000002	9330420016635	753	
		10461	Rope polyester double braid solid red 8mm x 200m	265.6	0.39991785323110673	106.21818181818196	409.0000000000002	9330420016642	753	
		10462	Rope polyester double braid solid blue 8mm x 200m	265.6	0.39991785323110673	106.21818181818196	409.0000000000002	9330420016659	753	
		10463	Rope polyester double braid solid green 8mm x 200m	265.6	0.39991785323110673	106.21818181818196	409.0000000000002	9330420016666	753	
		10464	Rope polyester double braid solid yellow 8mm x 200m	265.6	0.39991785323110673	106.21818181818196	409.0000000000002	9330420016673	753	
		10465	Rope polyester double braid solid black 10mm x 100m	207.4	0.44998685017971535	93.32727272727297	330.8000000000003	9330420016680	753	
		10466	Rope polyester double braid solid red 10mm x 100m	207.4	0.44998685017971535	93.32727272727297	330.8000000000003	9330420016697	753	
		10467	Rope polyester double braid solid blue 10mm x 100m	207.4	0.44998685017971535	93.32727272727297	330.8000000000003	9330420016703	753	
		10468	Rope polyester double braid solid green 10mm x 100m	207.4	0.44998685017971535	93.32727272727297	330.8000000000003	9330420016710	753	
		10469	Rope polyester double braid solid yellow 10mm x 100m	207.4	0.44998685017971535	93.32727272727297	330.8000000000003	9330420016727	753	
		10470	Rope polyester double braid solid black 12mm x 100m	272	0.45003342245989336	122.40909090909099	433.85000000000014	9330420016734	753	
		10471	Rope polyester double braid solid red 12mm x 100m	272	0.45003342245989336	122.40909090909099	433.85000000000014	9330420016741	753	
		10472	Rope polyester double braid solid blue 12mm x 100m	272	0.45003342245989336	122.40909090909099	433.85000000000014	9330420016758	753	
		10473	Rope polyester double braid solid green 12mm x 100m	272	0.45003342245989336	122.40909090909099	433.85000000000014	9330420016765	753	
		10474	Rope polyester double braid solid yellow 12mm x 100m	272	0.45003342245989336	122.40909090909099	433.85000000000014	9330420016772	753	
		10477	Rope nylon/polyester mooring double braid black 16mm x 100m	582.4	0.4000062437562432	232.96363636363606	896.8999999999997	9330420021660	752	
		10478	Rope nylon/polyester mooring double braid black 18mm x 100m	705.6	0.39996907854050745	282.2181818181821	1086.6000000000004	9330420021677	752	
		10479	Rope nylon/polyester mooring double braid black 20mm x 100m	880	0.4	352	1355.2	9330420084788	752	
		104800	Rope polyester double braid solid blue 14mm x 100m	350.2	0.4499506775349143	157.57272727272698	558.5499999999997	9330420101089		
		104801	Rope polyester double braid solid green 14mm x 100m	350.2	0.4499506775349143	157.57272727272698	558.5499999999997	9330420101126		
		104802	Rope polyester double braid solid red 14mm x 100m solid	350.2	0.4499506775349143	157.57272727272698	558.5499999999997	9330420101102		
		104803	Rope polyester double braid solid yellow 14mm x 100m	350.2	0.4499506775349143	157.57272727272698	558.5499999999997	9330420101096		
		104804	Rope polyester double braid solid black 14mm x 100m	350.2	0.4499506775349143	157.57272727272698	558.5499999999997	9330420101119		
		104810	Rope polyester double braid solid blue 16mm x 100m	450.5	0.450005044899607	202.72727272727298	718.5500000000003	9330420100600		
		104811	Rope polyester double braid solid green 16mm x 100m	450.5	0.450005044899607	202.72727272727298	718.5500000000003	9330420100648		
		104812	Rope polyester double braid solid red 16mm x 100m	450.5	0.450005044899607	202.72727272727298	718.5500000000003	9330420100624		
		104813	Rope polyester double braid solid yellow 16mm x 100m	450.5	0.450005044899607	202.72727272727298	718.5500000000003	9330420100617		
		104814	Rope polyester double braid solid black 16mm x 100m	450.5	0.450005044899607	202.72727272727298	718.5500000000003	9330420100631		
		10482	Rope nylon/polyester mooring double braid black 24mm x 100m	1304	0.39999302844394935	521.5909090909099	2008.150000000001	9330420093162	752	
		104820	Rope polyester double braid solid blue 18mm x 100m	612	0.45001485442661926	275.409090909091	976.1500000000002	9330420100655		
		104821	Rope polyester double braid solid green 18mm x 100m	612	0.45001485442661926	275.409090909091	976.1500000000002	9330420100693		
		104822	Rope polyester double braid solid red 18mm x 100m	612	0.45001485442661926	275.409090909091	976.1500000000002	9330420100679		
		104823	Rope polyester double braid solid yellow 18mm x 100m	612	0.45001485442661926	275.409090909091	976.1500000000002	9330420100662		
		104824	Rope polyester double braid solid black 18mm x 100m	612	0.45001485442661926	275.409090909091	976.1500000000002	9330420100686		
		104830	Rope polyester double braid solid blue 20mm x 100m	792.2	0.44998967202956325	356.48181818182	1263.5500000000022	9330420101034		
		104831	Rope polyester double braid solid green 20mm x 100m	792.2	0.44998967202956325	356.48181818182	1263.5500000000022	9330420101041		
		104832	Rope polyester double braid solid red 20mm x 100m	792.2	0.44998967202956325	356.48181818182	1263.5500000000022	9330420101058		
		104833	Rope polyester double braid solid yellow 20mm x 100m	792.2	0.44998967202956325	356.48181818182	1263.5500000000022	9330420101065		
		104834	Rope polyester double braid solid black 20mm x 100m	688.5	0.44999009704892085	309.818181818182	1098.1500000000003	9330420101072		
		10498	Rope polyester laid 3 strand white 6mm x 250m coil	87.8454545454545	0.5502431956949173	48.33636363636349	149.7999999999998	9330420021707	749	
		10500	Rope polyester 3 strand laid bronze green 6mm x 250m coil	174.445454545455	0.45004950753034967	78.50909090909002	278.24999999999955	9330420021714	749	
		10502	Rope polyester 3 strand laid bronze green 8mm x 250m coil	323.809090909091	0.44992840899519865	145.69090909090897	516.45	9330420021721	749	
		10503	Rope polyester 3 strand laid bronze green 10mm x 250m coil	470	0.45	211.5	749.6500000000001	9330420226539		
		10504	Rope polyester laid 3 strand white 8mm x 250m coil	155.6	0.5505959336293508	85.67272727272697	265.3999999999997	9330420021745	749	
		10506	Rope polyester laid 3 strand white 10mm x 250m coil	239.081818181818	0.5502490588995808	131.55454545454603	407.70000000000044	9330420021769	749	
		10508	Rope polyester laid 3 strand white 12mm x 250m coil	351.372727272727	0.5500245789242215	193.26363636363698	599.1000000000004	9330420021776	749	
		10510	Rope polyester laid 3 strand white 14mm x 250m coil	457.381818181818	0.5501272062331061	251.618181818182	779.9000000000001	9330420021783	749	
		10512	Rope polyester laid 3 strand white 16mm x 250m coil	602.909090909091	0.5500603136308808	331.63636363636385	1028.0000000000005	9330420021806	749	
		10513	Rope polyester laid 3 strand white 18mm x 250m coil	778.054545454545	0.5500198630617167	427.94545454545505	1326.6000000000001	9330420021813	749	
		10514	Rope polyester laid 3 strand white 20mm x 250m coil	935.554545454545	0.550077251217074	514.6272727272751	1595.200000000002	9330420021820	749	
		10516	Rope polyester laid 3 strand white 24mm x 250m coil	1351.35454545455	0.5500272453901394	743.28181818181	2304.0999999999963	9330420021837	749	
		10518	Rope polyester laid 3 strand white 28mm x 250m coil	1419.075	0.5499999999999998	780.4912499999998	2419.522875	9330420021844		
		10520	Rope polyester laid 3 strand white 32mm x 250m coil	2396.62727272727	0.5500191557074536	1318.1909090909103	4086.2999999999984	9330420021851	749	
		10574	Rope Superdan polypropylene laid 3 strand seagreen 9mm x 600m coil	195.7	0.4500394852975321	88.07272727272704	312.14999999999975	9330420021943	745	
		10576	Rope Superdan polypropylene laid 3 strand seagreen 12mm x 330m coil	172.008375	0.55	94.60460625000002	293.27427937500005	9330420021950	745	
		10577	Rope Superdan polypropylene laid 3 strand seagreen 14mm x 220m coil	163.172727272727	0.6000891414563507	97.918181818182	287.19999999999993	9330420021967	745	
		10578	Rope Superdan polypropylene laid 3 strand seagreen 16mm x 125m coil	112.85	0.5503282716397432	62.10454545454502	192.44999999999953	9330420021974	745	
		10580	Rope Superdan polypropylene laid 3 strand seagreen 18mm x 125m coil	154.059675	0.5499999999999998	84.73282124999997	262.671745875	9330420021981	745	
		10582	Rope Superdan polypropylene laid 3 strand seagreen 20mm x 125m coil	168.9975	0.5499999999999999	92.94862499999999	288.1407375	9330420021998	745	
		10584	Rope Superdan polypropylene laid 3 strand seagreen 22mm x 125m coil	236.382825	0.55	130.01055375	403.03271662500003	9330420022001	745	
		10585	Rope Superdan polypropylene laid 3 strand seagreen 24mm x 125m coil	254.375	0.5508599508599509	140.125	433.95000000000005	9330420022018	745	
		10620	Rope polyester VB cord white 2.0mm x 1000m	99.6272727272727	0.4499498129391328	44.827272727272316	158.89999999999952	9330420005509	756	
		10620BLK	Rope polyester VB cord black 2.0mm x 1000m	119.518181818182	0.4501407165132724	53.80000000000001	190.65000000000023	9330420183238	756	
		10621	Rope polyester VB cord white 2.0mm x 500m	52.592	0.5004010288464198	26.317090909090908	86.8	9330420005516	756	
		10622	Rope polyester VB cord white 2.0mm x 100m	13.2636363636364	0.5010281014393373	6.6454545454545	21.89999999999999	9330420005523	756	
		10624	Rope polyester VB cord white 2.5mm x 1000m	112.681818181818	0.4497781363452997	50.681818181818	179.69999999999962	9330420005530	756	
		10625	Rope polyester VB cord white 2.5mm x 500m	59.489	0.49989532060166936	29.738272727272708	98.14999999999998	9330420005547	756	
		10626	Rope polyester VB cord white 2.5mm x 100m	14.5	0.501567398119124	7.272727272727298	23.95000000000003	9330420005554	756	
		10628	Rope polyester VB cord white 3.0mm x 1000m	147.136363636364	0.45010812480691403	66.22727272727201	234.69999999999962	9330420005561	756	
		10629	Rope polyester VB cord white 3.0mm x 500m	77.9	0.5001750495973812	38.963636363636	128.5499999999996	9330420005578	756	
		10630	Rope polyester VB cord white 3.0mm x 100m	16.9363636363636	0.5002683843263581	8.472727272727301	27.949999999999992	9330420005585	756	
		10630BK	Rope polyester VB cord black 3.0mm x 100m	23.5818181818182	0.49961449498843535	11.781818181818203	38.90000000000005	9330420005592	756	
		10630BU	Rope polyester VB cord blue 3.0mm x 100m	23.5818181818182	0.49961449498843535	11.781818181818203	38.90000000000005	9330420005608	756	
		10630G	Rope polyester VB cord green 3.0mm x 100m	23.5818181818182	0.49961449498843535	11.781818181818203	38.90000000000005	9330420005615	756	
		10630R	Rope polyester VB cord red 3.0mm x 100m	23.5818181818182	0.49961449498843535	11.781818181818203	38.90000000000005	9330420005622	756	
		10630Y	Rope polyester VB cord yellow 3.0mm x 100m	23.5818181818182	0.49961449498843535	11.781818181818203	38.90000000000005	9330420005639	756	
		10631	Rope polyester VB cord black 3.0mm x 500m	88.3818181818182	0.44980456696153426	39.75454545454579	140.95000000000041	9330420005646	756	
		10640	Rope polyester starter / leech cord 4.5mm x 100m white	37.1363636363636	0.45042839657282996	16.727272727272805	59.25000000000005	9330420005714	756	
		10642	Rope polyester starter / leech cord 4.0mm x 100m white	34.7909090909091	0.4502221060883207	15.6636363636364	55.50000000000006	9330420005738	756	
		10643	Rope polyester starter / leech cord 4.0mm x 100m black	39.7818181818182	0.44995429616087723	17.9	63.450000000000024	933020185638	756	
		10645	Rope polyester starter / leech cord 5.0mm x 100m white	57.4363636363636	0.44982589427034	25.836363636363693	91.60000000000004	9330420005752	756	
		10661CE	Wire rope 316G SS 7x7 6.0mm - 305m reel	640	0.49999999999999983	319.9999999999999	1056	9330420148107	767	
